t	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18
0.95	0.824452	0.133687	-0.133687	-0.824452	-0.133687	0.133687	0	0	0	-0.39365	0.118875	-0.118875	0.39365	-0.118875	0.118875	0	0	0
0.96	0.820516	0.134875	-0.134875	-0.820516	-0.134875	0.134875	0	0	0	-0.398758	0.118046	-0.118046	0.398758	-0.118046	0.118046	0	0	0
0.97	0.816528	0.136056	-0.136056	-0.816528	-0.136056	0.136056	0	0	0	-0.403906	0.1172	-0.1172	0.403906	-0.1172	0.1172	0	0	0
0.98	0.812489	0.137228	-0.137228	-0.812489	-0.137228	0.137228	0	0	0	-0.409092	0.116336	-0.116336	0.409092	-0.116336	0.116336	0	0	0
0.99	0.808398	0.138391	-0.138391	-0.808398	-0.138391	0.138391	0	0	0	-0.414319	0.115453	-0.115453	0.414319	-0.115453	0.115453	0	0	0
1	0.804255	0.139546	-0.139546	-0.804255	-0.139546	0.139546	0	0	0	-0.419588	0.114551	-0.114551	0.419588	-0.114551	0.114551	0	0	0
1.01	0.800059	0.140691	-0.140691	-0.800059	-0.140691	0.140691	0	0	0	-0.424898	0.11363	-0.11363	0.424898	-0.11363	0.11363	0	0	0
1.02	0.79581	0.141827	-0.141827	-0.79581	-0.141827	0.141827	0	0	0	-0.430252	0.112688	-0.112688	0.430252	-0.112688	0.112688	0	0	0
1.03	0.791508	0.142954	-0.142954	-0.791508	-0.142954	0.142954	0	0	0	-0.435651	0.111726	-0.111726	0.435651	-0.111726	0.111726	0	0	0
1.04	0.787151	0.144072	-0.144072	-0.787151	-0.144072	0.144072	0	0	0	-0.441096	0.110743	-0.110743	0.441096	-0.110743	0.110743	0	0	0
1.05	0.78274	0.145179	-0.145179	-0.78274	-0.145179	0.145179	0	0	0	-0.446587	0.109738	-0.109738	0.446587	-0.109738	0.109738	0	0	0
1.06	0.778275	0.146276	-0.146276	-0.778275	-0.146276	0.146276	0	0	0	-0.452126	0.10871	-0.10871	0.452126	-0.10871	0.10871	0	0	0
1.07	0.773753	0.147363	-0.147363	-0.773753	-0.147363	0.147363	0	0	0	-0.457715	0.10766	-0.10766	0.457715	-0.10766	0.10766	0	0	0
1.08	0.769176	0.14844	-0.14844	-0.769176	-0.14844	0.14844	0	0	0	-0.463354	0.106586	-0.106586	0.463354	-0.106586	0.106586	0	0	0
1.09	0.764543	0.149506	-0.149506	-0.764543	-0.149506	0.149506	0	0	0	-0.469044	0.105488	-0.105488	0.469044	-0.105488	0.105488	0	0	0
1.1	0.759852	0.150561	-0.150561	-0.759852	-0.150561	0.150561	0	0	0	-0.474789	0.104364	-0.104364	0.474789	-0.104364	0.104364	0	0	0
1.11	0.755104	0.151604	-0.151604	-0.755104	-0.151604	0.151604	0	0	0	-0.480587	0.103215	-0.103215	0.480587	-0.103215	0.103215	0	0	0
1.12	0.750298	0.152637	-0.152637	-0.750298	-0.152637	0.152637	0	0	0	-0.486442	0.10204	-0.10204	0.486442	-0.10204	0.10204	0	0	0
1.13	0.745434	0.153657	-0.153657	-0.745434	-0.153657	0.153657	0	0	0	-0.492354	0.100837	-0.100837	0.492354	-0.100837	0.100837	0	0	0
